USER_ID,TV_201712_M,TV_201712_A,TV_201712_N,VOD_201712_M,VOD_201712_A,VOD_201712_N
0,132,215,343,560,508,1722
1,1280,1918,3162,846,834,2370
2,1691,2493,4246,1239,1173,3408
3,272,407,671,1077,1018,3035
4,230,362,578,796,755,2199
5,1557,2427,3996,324,322,974
6,1510,2388,3872,1310,1301,3929
7,184,238,448,93,107,280
8,1708,2654,4368,1219,1122,3599
9,274,465,761,66,58,176
10,1192,1689,2819,978,980,2872
11,2017,3006,4997,249,217,704
12,435,657,1158,121,97,322
13,115,175,280,1293,1236,3651
14,583,840,1337,1243,1258,3769
15,328,486,776,766,741,2273
16,292,438,680,853,813,2534
17,633,974,1633,820,810,2420
18,649,863,1458,1461,1439,4180
19,899,1331,2360,919,1009,3022
20,1635,2412,4173,178,159,503
21,263,408,739,208,188,564
22,1830,2853,4647,1285,1223,3612
23,1610,2379,3871,1426,1417,4177
24,509,792,1279,452,432,1276
25,621,943,1466,597,598,1805
26,1070,1616,2744,738,762,2130
27,485,748,1257,426,464,1270
28,1267,1779,3164,80,109,291
29,727,1071,1832,1260,1289,3841
30,1150,1651,2809,102,132,306
31,1903,2739,4388,344,324,952
32,1511,2299,3900,320,283,867
33,83,127,240,1197,1179,3504
34,1420,2240,3540,550,528,1682
35,2148,3199,5423,244,225,701
36,411,644,1045,104,107,299
37,671,938,1661,713,783,2254
38,1158,1901,3001,137,131,422
39,749,1188,1993,977,1032,3061
40,1699,2618,4323,504,441,1455
41,1870,2800,4600,420,463,1337
42,1055,1645,2760,1250,1244,3746
43,1116,1669,2765,510,493,1517
44,858,1271,2131,1266,1247,3787
45,1031,1557,2602,437,430,1353
46,1237,1810,3133,1091,1078,3201
47,1414,2183,3663,1209,1147,3464
48,86,99,175,379,418,1213
49,448,737,1275,387,373,1280
50,480,702,1218,494,473,1373
51,1458,2101,3611,1295,1274,3881
52,1648,2406,3956,523,588,1619
53,361,515,834,552,529,1499
54,629,947,1544,310,299,891
55,1651,2357,4092,350,323,917
56,1085,1687,2688,515,519,1576
57,1133,1785,2872,228,205,677
58,1736,2553,4351,568,583,1669
59,2011,3031,5128,977,968,2915
60,1608,2416,4046,1087,1065,3308
61,637,925,1588,856,839,2505
62,1145,1731,2824,345,362,1063
63,1298,1969,3243,225,235,710
64,628,961,1651,1267,1205,3798
65,1756,2440,4084,101,119,320
66,1204,1860,3236,1106,1093,3231
67,1329,1952,3319,193,194,573
68,643,978,1709,519,490,1571
69,711,1110,1869,494,513,1603
70,1882,2666,4692,1281,1395,4014
71,877,1229,2154,308,278,914
72,1030,1597,2683,991,960,2999
73,269,391,660,318,332,970
74,1197,1794,2919,392,387,1081
75,1443,2181,3636,483,423,1314
76,1086,1671,2793,326,328,936
77,1675,2569,4246,322,335,993
78,1906,2768,4626,586,600,1724
79,1179,1729,2942,930,907,2783
80,1560,2345,3955,994,880,2956
81,2088,3217,5285,876,821,2503
82,105,165,270,228,239,733
83,1944,3016,5240,660,657,1863
84,1987,2877,4796,887,861,2542
85,1144,1861,3055,67,57,206
86,2075,3059,5336,1292,1246,3792
87,1211,1794,2995,186,160,494
88,1595,2380,3735,1010,1079,3221
89,489,779,1342,313,335,1002
90,1184,1721,2915,1179,1158,3603
91,65,118,177,1192,1107,3611
92,84,132,204,586,597,1667
93,1599,2230,3731,797,769,2394
94,1685,2489,4136,764,800,2246
95,713,1250,1937,207,181,602
96,1101,1536,2733,145,161,474
97,411,577,1022,469,487,1534
98,1830,2712,4608,112,113,285
99,1537,2333,3840,328,348,944
