# Ignore this line
504,367,41,62
REM Skip me
62,646,15,806
750,441,530,107
820,846,461,531
# Ignore this line
711,160,700,964
913,900,624,193
385,893,502,120
353,696,450,763
77,440,859,81
868,672,379,354
964,711,639,146
414,279,234,912
# Ignore this line
693,511,6,106
534,80,88,362
41,505,153,77
# Do not bother
588,532,189,458
798,500,861,882
93,334,949,219
512,438,503,68
465,498,950,579
156,869,552,961
101,304,344,143
587,647,200,680
759,652,687,582
843,408,917,280
REM Do not bother
478,753,202,304
119,460,629,250
863,552,424,457
443,847,190,820
97,886,261,915
313,833,676,766
929,663,265,525
201,414,913,329
460,863,117,523
547,103,304,150
90,282,3,529
295,290,998,936
76,449,200,479
51,95,947,729
620,310,275,810
745,46,353,46
453,567,143,783
1,435,337,263
781,235,462,409
140,692,174,861
893,412,504,882
472,666,302,549
422,784,69,919
956,266,847,393
REM Skip me
698,178,55,881
883,408,751,26
-- Skip me
REM Ignore this line
767,156,119,214
762,887,310,111
335,439,495,277
125,699,29,452
389,365,564,599
502,515,508,563
401,707,585,699
756,995,739,567
447,28,746,599
167,752,799,325
329,983,287,879
522,599,600,471
-- Skip me
559,197,393,955
810,425,979,431
233,482,496,753
340,966,53,203
297,168,799,914
18,455,975,429
265,112,811,524
361,47,90,65
279,910,43,131
281,936,469,572
76,398,842,344
306,491,2,841
415,31,677,223
838,828,379,388
REM Ignore this line
57,376,467,824
19,930,423,188
351,430,222,115
479,789,850,480
REM Skip me
720,867,950,93
544,416,878,496
29,23,279,12
893,159,408,630
953,146,622,763
113,318,970,581
337,789,335,289
193,399,890,826
118,405,629,730
REM Do not bother
31,485,114,448
76,517,984,350
-- Do not bother
502,588,84,152
REM Skip me
730,924,578,815
341,503,668,747
394,885,822,705
55,932,746,29
418,702,165,880
291,549,387,687
154,36,539,553
# Do not bother
# Ignore this line
REM Ignore this line
402,663,360,724
443,658,209,494
# Skip me
458,764,138,65
205,985,822,465
792,673,749,509
923,798,130,444
884,198,833,695
415,378,135,808
327,334,303,724
357,203,597,450
261,269,301,535
86,140,343,21
759,745,416,909
992,256,426,649
-- Skip me
989,636,277,854
743,630,171,83
850,258,322,857
# Ignore this line
52,163,308,760
892,591,819,126
329,840,570,553
393,896,875,607
928,573,843,458
471,319,341,226
54,507,919,579
813,830,590,738
814,309,559,823
838,620,456,341
899,197,911,253
# Ignore this line
950,335,425,77
# Ignore this line
REM Do not bother
REM Skip me
# Do not bother
-- Skip me
182,359,318,525
448,472,396,610
22,760,406,962
REM Do not bother
33,457,733,749
419,876,108,903
603,117,266,710
826,625,251,206
600,149,873,475
802,738,306,455
REM Do not bother
952,916,766,859
847,13,591,511
-- Ignore this line
407,815,686,425
541,613,303,347
317,228,670,310
641,692,927,442
933,115,137,375
104,717,158,875
REM Skip me
966,151,471,211
279,343,386,849
673,708,52,753
REM Do not bother
# Ignore this line
828,769,528,532
806,398,358,635
809,640,301,671
710,919,983,842
719,37,252,820
757,24,824,38
883,146,872,147
444,408,684,534
REM Skip me
110,503,102,173
127,903,817,158
108,611,156,373
842,237,758,111
-- Ignore this line
598,595,556,399
618,717,11,777
# Skip me
REM Skip me
